193	328	17	764	38	457	611	65	106	813
28	139	661	532	12	237	970	755	173	211
938	232	783	334	350	124	109	260	689	912
450	917	701	1020	0	425	129	774	760	724
914	664	347	381	310	755	710	643	950	631
398	555	756	608	374	250	415	339	362	235
894	269	141	836	158	199	156	687	131	542
215	669	375	1023	916	695	580	835	470	901
262	968	700	498	999	560	633	896	219	765
748	808	208	414	524	864	706	245	404	992
518	227	12	174	705	508	244	367	391	605
930	453	711	234	842	2	502	695	938	884
313	657	531	623	302	659	195	377	668	574
759	34	906	900	206	10	473	550	628	693
730	948	44	720	442	356	744	332	602	238
959	574	177	907	929	131	128	753	955	288
511	51	738	648	358	816	456	1014	997	350
20	26	113	342	34	844	341	538	397	104
732	591	56	372	496	546	16	200	764	36
830	393	244	722	409	915	95	946	529	542
994	518	865	226	625	29	252	398	886	991
404	822	165	161	254	703	628	999	675	393
883	108	239	690	339	781	50	1019	767	626
20	66	1019	525	238	222	998	424	55	474
229	745	606	348	493	547	36	415	41	922
801	537	122	42	247	233	908	763	863	403
904	848	688	863	48	77	179	16	807	861
732	689	785	394	343	653	44	782	435	208
20	355	528	467	439	653	438	61	460	1003
743	849	742	80	971	640	839	365	180	509
654	816	493	772	380	787	80	280	432	812
168	359	796	651	827	460	1015	762	531	454
405	190	149	640	172	589	659	439	175	65
584	212	72	865	181	456	167	226	777	774
887	909	408	213	810	402	534	30	82	608
11	274	665	973	890	223	638	866	724	481
74	988	853	967	619	876	981	663	496	750
936	490	791	149	442	329	990	733	200	409
197	128	469	260	303	911	698	829	856	116
402	632	42	431	632	798	857	942	573	582
4	950	583	650	542	565	1022	304	61	266
306	865	781	886	983	554	345	392	116	804
685	963	596	726	900	565	591	488	935	435
977	711	390	990	449	512	839	551	832	220
791	694	53	901	276	1016	308	245	177	147
562	241	698	419	572	249	19	270	662	676
412	538	163	244	741	950	79	976	473	412
604	528	628	22	979	721	207	989	827	475
641	181	631	174	709	959	199	467	828	717
457	866	945	221	111	809	354	352	860	756
357	966	913	799	163	90	342	368	239	727
523	927	890	994	476	682	844	700	1023	225
27	431	479	227	932	56	27	468	980	502
222	211	335	604	773	590	813	29	239	902
837	71	84	763	215	52	512	567	132	919
791	489	324	913	572	242	239	191	588	727
209	495	269	525	314	387	851	637	611	457
360	138	629	268	634	783	1000	691	895	333
124	448	696	808	202	988	188	439	214	927
737	888	10	962	362	143	519	139	98	967
89	715	468	114	140	994	799	426	805	116
345	438	217	783	559	320	757	834	865	650
664	555	890	63	848	974	521	627	92	992
869	156	954	548	918	475	128	801	836	627
639	411	888	46	571	1000	504	36	912	764
785	184	482	270	230	84	395	147	535	206
417	504	784	92	417	1006	181	284	767	673
1009	285	430	167	173	481	164	920	847	712
4	732	535	610	700	499	1010	468	747	221
708	107	795	787	191	857	836	136	952	839
151	760	899	538	908	867	885	916	500	244
259	731	785	956	339	954	138	436	709	24
132	289	275	928	546	336	836	586	79	203
957	158	847	842	178	690	562	559	689	804
671	639	138	264	364	1004	1015	942	72	73
944	569	259	154	78	356	744	742	842	942
543	464	814	794	433	863	412	54	549	973
741	933	140	472	499	253	657	476	997	400
561	27	612	455	58	865	406	828	915	763
577	838	337	29	429	319	837	255	953	684
724	648	63	401	394	232	785	53	940	256
448	434	805	492	275	650	478	159	1019	385
209	330	647	47	521	525	470	854	467	737
572	772	863	1006	731	682	1008	950	626	375
476	393	751	247	184	952	136	381	16	388
934	35	493	447	38	408	107	605	184	576
711	277	1019	964	424	243	324	507	98	895
66	50	473	727	17	78	985	602	318	208
611	224	368	329	117	789	188	820	427	755
220	253	276	734	456	70	916	238	143	191
904	829	792	397	842	555	324	416	680	942
80	893	695	21	308	678	12	501	382	193
274	239	823	474	541	74	743	862	505	60
209	527	682	185	697	339	542	215	623	954
792	479	972	590	106	263	118	329	783	441
584	776	35	551	1003	712	306	263	26	2
713	524	609	631	395	391	8	387	947	724
435	632	415	271	522	939	366	882	585	437
153	885	27	65	493	861	261	249	37	1009
523	352	91	279	137	699	720	494	483	15
642	733	345	36	768	875	184	308	745	328
224	793	670	962	561	31	105	216	962	673
818	629	803	422
